ABS,96hQC,96hQCOA,96hQCCALB,96hOACALB,96hS1,96hS2
650.420453,-0.041668,-0.017511,-0.017547,-0.015176,0.010817,-0.011261
652.284122,-0.026795,-0.010702,-0.012304,-0.00407,0.010248,-0.001536
654.14779,-0.021899,-0.004567,-0.0114,-0.003891,0.00803,0.002032
656.011459,-0.016693,0.012406,0.006062,0.01222,0.020011,0.016475
657.875128,-0.024429,0.00924,0.004159,0.007668,0.016641,0.014359
659.738797,0.001425,0.029061,0.024276,0.027018,0.041847,0.036062
661.602466,0.006267,0.030413,0.021058,0.030199,0.044005,0.034556
663.466135,0.021827,0.046276,0.030069,0.045954,0.057418,0.046619
665.329804,0.046031,0.069811,0.057041,0.073707,0.082942,0.075373
667.193473,0.050292,0.072094,0.067736,0.08169,0.087064,0.085876
669.057142,0.047868,0.074787,0.066533,0.082664,0.0892,0.084813
670.920811,0.033165,0.06629,0.047215,0.065468,0.073546,0.067886
672.78448,0.023981,0.060181,0.037438,0.054731,0.063086,0.059752
674.648149,0.025185,0.059787,0.037684,0.054723,0.065309,0.060094
676.511817,0.021492,0.057349,0.034264,0.05407,0.062731,0.058127
678.375486,0.016597,0.057656,0.032822,0.055685,0.06195,0.059016
680.239155,0.01385,0.057491,0.030563,0.056716,0.063263,0.057792
682.102824,0.011962,0.059484,0.032466,0.055531,0.064266,0.057065
683.966493,0.00572,0.051143,0.027288,0.047057,0.057756,0.050914
685.830162,0.003453,0.044616,0.021188,0.045979,0.056634,0.047964
687.693831,0.008518,0.051153,0.019959,0.050285,0.06021,0.052271
689.5575,0.008206,0.051629,0.01588,0.047951,0.056444,0.050925
691.421169,0.012172,0.055953,0.022589,0.055108,0.061288,0.054628
693.284838,0.000193,0.046835,0.014187,0.046615,0.053881,0.044634
695.148507,-0.004689,0.043251,0.008595,0.04226,0.050745,0.041361
697.012176,0.001718,0.047661,0.01305,0.049925,0.056549,0.049213
698.875844,0.000719,0.045591,0.01213,0.050523,0.05516,0.048809
700.739513,0.008385,0.055625,0.019021,0.055843,0.062659,0.055989
702.603182,0.010592,0.059126,0.017446,0.055683,0.06396,0.055392
