Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,,1.228,1.183,1.009,1.351,1.198
202,,1.349,1.296,1.001,1.25,1.282
204,,1.397,1.307,1.059,1.323,1.496
206,,1.527,1.311,1.114,1.469,1.473
208,,1.488,1.469,1.024,1.59,1.519
210,,1.61,1.396,0.758,1.592,1.495
212,,1.666,1.375,0.554,1.67,1.685
214,,1.692,1.295,0.38,1.682,1.598
216,,1.621,1.2,0.314,1.655,1.736
218,,1.596,1.09,0.284,1.606,1.63
220,1.236,1.587,1.043,0.284,1.536,1.687
222,1.183,1.645,1.007,0.297,1.586,1.697
224,1.184,1.585,0.984,0.297,1.556,1.668
226,1.168,1.584,0.959,0.307,1.542,1.699
228,1.168,1.595,0.945,0.315,1.554,1.686
230,1.165,1.599,0.941,0.322,1.555,1.694
232,1.136,1.568,0.92,0.322,1.519,1.639
234,1.07,1.504,0.877,0.31,1.459,1.594
236,0.995,1.424,0.831,0.287,1.403,1.506
238,0.961,1.391,0.827,0.258,1.361,1.459
240,0.975,1.41,0.854,0.224,1.379,1.468
242,0.998,1.432,0.873,0.179,1.394,1.479
244,1.052,1.478,0.922,0.155,1.444,1.535
246,1.139,1.558,1.001,0.124,1.523,1.616
248,1.22,1.637,1.074,0.1,1.602,1.7
250,1.268,1.683,1.116,0.085,1.648,1.744
252,1.382,1.758,1.184,0.069,1.725,1.8
254,1.425,1.83,1.25,0.063,1.8,1.899
256,1.402,1.786,1.234,0.053,1.743,1.868
258,1.31,1.643,1.14,0.048,1.625,1.74
260,1.185,1.509,1.025,0.042,1.48,1.582
262,1.123,1.421,0.963,0.043,1.395,1.493
264,1.079,1.342,0.917,0.042,1.325,1.424
266,1.021,1.258,0.857,0.034,1.245,1.339
268,0.983,1.205,0.82,0.035,1.185,1.282
270,0.921,1.087,0.73,0.031,1.073,1.165
272,0.826,1,0.672,0.027,0.984,1.072
274,0.748,0.903,0.602,0.025,0.883,0.973
276,0.652,0.78,0.52,0.021,0.767,0.845
278,0.571,0.679,0.447,0.02,0.666,0.736
280,0.518,0.611,0.4,0.014,0.6,0.668
282,0.486,0.572,0.374,0.011,0.563,0.624
284,0.474,0.562,0.367,0.008,0.552,0.608
286,0.475,0.564,0.369,0.004,0.555,0.61
288,0.484,0.574,0.378,0.001,0.565,0.62
290,0.496,0.587,0.387,-0.002,0.581,0.634
292,0.5,0.596,0.394,-0.005,0.589,0.645
294,0.517,0.604,0.401,-0.008,0.595,0.652
296,0.521,0.608,0.402,-0.008,0.598,0.655
298,0.528,0.609,0.403,-0.008,0.605,0.663
300,0.529,0.619,0.414,-0.01,0.61,0.662
302,0.536,0.635,0.427,-0.02,0.617,0.678
304,0.531,0.643,0.433,-0.022,0.632,0.686
306,0.556,0.65,0.439,-0.02,0.639,0.696
