ABS,QC,QCOA,QCCALB,OACALB,S1,S2
1828.259209,0.002657,0.0035,-0.009322,-0.006427,-0.006024,-0.007912
1830.122878,0.002807,0.004362,-0.008888,-0.005257,-0.005441,-0.006972
1831.986547,0.000366,0.0011,-0.012583,-0.00947,-0.009253,-0.01076
1833.850216,0.000609,-0.000084,-0.013798,-0.011658,-0.011621,-0.013975
1835.713885,0.001489,0.0004,-0.012399,-0.010171,-0.00979,-0.012295
1837.577554,0.001504,0.000352,-0.012577,-0.010444,-0.010296,-0.012501
1839.441223,0.001172,0.000645,-0.012508,-0.010069,-0.010816,-0.01248
1841.304892,0.000418,0.000291,-0.012639,-0.009902,-0.01035,-0.011954
1843.168561,0.000427,0.000064,-0.012051,-0.009163,-0.008634,-0.010522
1845.032229,0.000877,0.000537,-0.011162,-0.00832,-0.007744,-0.0093
1846.895898,-0.000657,-0.00166,-0.013664,-0.011486,-0.011436,-0.012475
1848.759567,-0.000353,-0.00076,-0.014146,-0.012154,-0.012489,-0.014255
1850.623236,-0.000135,-0.000215,-0.014154,-0.011578,-0.011725,-0.014322
1852.486905,0.000351,-0.000418,-0.013935,-0.012124,-0.012134,-0.015428
1854.350574,0.000714,0.000009,-0.012101,-0.011087,-0.010861,-0.013587
1856.214243,0.001204,0.000077,-0.011984,-0.011332,-0.011243,-0.013698
1858.077912,0.002452,0.000823,-0.011109,-0.009931,-0.00984,-0.012264
1859.941581,0.003849,0.001611,-0.01056,-0.009013,-0.009993,-0.012289
1861.80525,0.003047,0.001268,-0.010889,-0.009021,-0.010311,-0.012145
1863.668919,0.002432,0.000614,-0.011226,-0.009802,-0.010584,-0.012198
1865.532588,0.004183,0.002023,-0.00871,-0.007291,-0.007034,-0.008667
1867.396256,0.003928,0.002304,-0.008612,-0.006537,-0.006212,-0.00782
1869.259925,0.001748,0.000988,-0.010821,-0.007954,-0.00841,-0.009514
1871.123594,0.000678,-0.001122,-0.012855,-0.011313,-0.012084,-0.013482
1872.987263,0.001056,-0.001221,-0.012396,-0.011946,-0.012862,-0.014994
1874.850932,0.001471,-0.000773,-0.012541,-0.011812,-0.012393,-0.014847
1876.714601,0.000757,-0.001552,-0.013861,-0.012661,-0.012628,-0.014904
1878.57827,-0.000551,-0.002574,-0.014732,-0.013828,-0.014188,-0.016092
1880.441939,0.000619,-0.001552,-0.013062,-0.012572,-0.013351,-0.014894
1882.305608,0.001598,-0.001124,-0.012701,-0.012103,-0.012836,-0.01475
1884.169277,0.000773,-0.002142,-0.013217,-0.012749,-0.013005,-0.015176
1886.032946,0.000272,-0.00261,-0.013976,-0.013115,-0.012496,-0.015277
1887.896615,-0.000318,-0.002867,-0.014436,-0.013423,-0.012237,-0.015232
1889.760283,0.001023,-0.001983,-0.013004,-0.012538,-0.011913,-0.014653
1891.623952,0.000666,-0.002808,-0.013729,-0.012785,-0.01307,-0.015311
1893.487621,-0.000042,-0.004215,-0.015741,-0.014195,-0.015218,-0.017323
1895.35129,0.001855,-0.002451,-0.013513,-0.011112,-0.012261,-0.014083
1897.214959,0.002343,-0.002497,-0.013149,-0.011287,-0.012731,-0.01445
1899.078628,0.00276,-0.001562,-0.011981,-0.011132,-0.012528,-0.013941
1900.942297,0.002332,-0.001556,-0.011888,-0.011938,-0.013185,-0.014437
1902.805966,0.0015,-0.002357,-0.012312,-0.01309,-0.013298,-0.015066
1904.669635,0.001492,-0.002582,-0.012193,-0.013173,-0.012741,-0.015721
1906.533304,0.003316,-0.001001,-0.009192,-0.009547,-0.010021,-0.012568
1908.396973,0.003549,-0.001009,-0.008847,-0.008819,-0.010375,-0.011787
1910.260642,0.001623,-0.001813,-0.011612,-0.011104,-0.012166,-0.013303
1912.12431,-0.000055,-0.003513,-0.015428,-0.01448,-0.015156,-0.017113
1913.987979,0.00137,-0.00268,-0.014122,-0.01332,-0.014764,-0.016408
1915.851648,0.002213,-0.002614,-0.012007,-0.012162,-0.013174,-0.014781
1917.715317,0.00237,-0.002823,-0.010751,-0.01168,-0.01127,-0.014006
1919.578986,-0.0005,-0.005063,-0.0133,-0.013263,-0.012973,-0.015482
1921.442655,-0.001306,-0.005917,-0.01535,-0.014606,-0.014899,-0.017008
1923.306324,0.000865,-0.003235,-0.012428,-0.012593,-0.012457,-0.014725
1925.169993,0.000509,-0.003904,-0.01282,-0.014489,-0.013337,-0.015257
1927.033662,0.000507,-0.005816,-0.014375,-0.016872,-0.016705,-0.017778
1928.897331,-0.001984,-0.008466,-0.015921,-0.017766,-0.0189,-0.019661
1930.761,-0.002564,-0.008697,-0.016162,-0.017568,-0.019249,-0.019868
1932.624669,-0.001983,-0.007013,-0.014498,-0.015827,-0.017095,-0.018181
1934.488338,-0.002081,-0.007053,-0.014343,-0.016046,-0.016365,-0.019233
1936.352006,-0.00209,-0.008092,-0.014602,-0.017115,-0.016631,-0.01944
1938.215675,-0.000993,-0.007562,-0.016055,-0.017935,-0.017873,-0.019379
1940.079344,0.00067,-0.005622,-0.01502,-0.015503,-0.015767,-0.016932
1941.943013,0.003909,-0.001712,-0.010392,-0.010844,-0.010928,-0.013523
1943.806682,0.003259,0.000497,-0.007727,-0.009132,-0.008432,-0.0108
1945.670351,0.000123,-0.002932,-0.0113,-0.013417,-0.012713,-0.014442
