ABS,144hQC,144hQCOA
1032.472581,-0.006896,0.0076
1034.33625,-0.007451,0.007089
1036.199919,-0.007976,0.006485
1038.063588,-0.00773,0.006661
1039.927257,-0.007817,0.006436
1041.790926,-0.007639,0.006469
1043.654594,-0.007439,0.006651
1045.518263,-0.007493,0.006659
1047.381932,-0.006976,0.007115
1049.245601,-0.006665,0.007348
1051.10927,-0.006411,0.007617
1052.972939,-0.006469,0.007583
1054.836608,-0.006628,0.007543
1056.700277,-0.006467,0.007714
1058.563946,-0.006395,0.007604
1060.427615,-0.006609,0.007377
1062.291284,-0.006332,0.007657
1064.154953,-0.006168,0.007758
1066.018621,-0.006011,0.00787
1067.88229,-0.005897,0.007982
1069.745959,-0.005887,0.008214
1071.609628,-0.006024,0.008591
1073.473297,-0.005761,0.009571
1075.336966,-0.005667,0.010364
1077.200635,-0.005094,0.011573
1079.064304,-0.003875,0.013398
1080.927973,-0.002576,0.015053
1082.791642,-0.00077,0.016816
1084.655311,0.001698,0.018974
1086.51898,0.004643,0.021172
1088.382648,0.00882,0.023858
1090.246317,0.014035,0.026905
1092.109986,0.019546,0.030141
1093.973655,0.022821,0.031963
1095.837324,0.021701,0.030722
1097.700993,0.017043,0.026544
1099.564662,0.013025,0.022723
1101.428331,0.010976,0.020641
1103.292,0.010046,0.01992
1105.155669,0.008917,0.019746
1107.019338,0.006887,0.019261
1108.883007,0.004616,0.018754
1110.746675,0.002841,0.018838
1112.610344,0.000671,0.018383
1114.474013,-0.000608,0.018476
1116.337682,-0.001045,0.019052
1118.201351,-0.000937,0.019556
1120.06502,-0.000725,0.019289
1121.928689,-0.000637,0.018122
1123.792358,-0.000123,0.016816
1125.656027,0.000926,0.015982
1127.519696,0.001517,0.015083
1129.383365,0.001895,0.014462
1131.247034,0.002505,0.014603
1133.110703,0.00349,0.015402
1134.974371,0.005437,0.017232
1136.83804,0.007957,0.019549
1138.701709,0.010364,0.021307
1140.565378,0.01335,0.023131
1142.429047,0.015149,0.023991
1144.292716,0.013987,0.023262
