Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,,,1.296,0.922,1.235,1.187
202,,,1.322,1.059,1.291,1.261
204,,,1.406,1.103,1.259,1.351
206,,,1.414,1.064,1.47,1.45
208,,,1.561,0.89,1.471,1.429
210,,,1.55,0.67,1.562,1.649
212,,,1.619,0.446,1.541,1.513
214,,,1.623,0.355,1.484,1.438
216,,,1.641,0.268,1.438,1.412
218,,,1.535,0.233,1.363,1.284
220,,,1.6,0.245,1.301,1.279
222,,,1.559,0.256,1.302,1.219
224,,,1.575,0.266,1.279,1.213
226,,,1.539,0.267,1.269,1.211
228,,,1.525,0.279,1.28,1.208
230,,,1.495,0.264,1.274,1.208
232,,,1.464,0.256,1.251,1.149
234,,,1.39,0.267,1.195,1.125
236,,,1.328,0.242,1.134,1.068
238,,,1.312,0.215,1.103,1.044
240,,,1.341,0.181,1.104,1.049
242,,,1.38,0.149,1.111,1.051
244,,,1.444,0.129,1.141,1.079
246,,,1.544,0.099,1.196,1.139
248,,,1.631,0.075,1.241,1.188
250,,,1.691,0.065,1.275,1.221
252,,,1.813,0.047,1.363,1.272
254,,,1.853,0.04,1.389,1.329
256,,,1.815,0.033,1.352,1.309
258,,,1.704,0.027,1.256,1.21
260,,,1.563,0.024,1.133,1.094
262,,,1.472,0.027,1.063,1.033
264,,,1.401,0.022,1.008,0.981
266,,,1.318,0.019,0.953,0.922
268,,,1.259,0.021,0.903,0.883
270,,,1.142,0.011,0.806,0.793
272,,,1.052,0.016,0.742,0.729
274,,,0.947,0.013,0.667,0.661
276,,,0.825,0.011,0.574,0.507
278,,,0.728,0.007,0.496,0.497
280,,,0.666,0.007,0.448,0.449
282,,,0.631,0.002,0.42,0.421
284,,,0.622,0,0.412,0.412
286,,,0.627,-0.002,0.415,0.418
288,,,0.636,-0.004,0.422,0.424
290,,,0.649,-0.004,0.43,0.433
292,,,0.659,-0.005,0.44,0.437
294,,,0.667,-0.008,0.441,0.44
296,,,0.665,-0.012,0.443,0.441
298,,,0.67,-0.011,0.447,0.445
300,,,0.693,-0.012,0.456,0.448
302,,,0.705,-0.017,0.46,0.452
304,,,0.712,-0.015,0.473,0.466
306,,,0.717,-0.016,0.478,0.469
308,,,0.722,-0.015,0.484,0.475
310,,,0.732,-0.017,0.489,0.477
312,,,0.738,-0.017,0.498,0.481
314,,,0.754,-0.015,0.511,0.501
316,,,0.771,-0.019,0.525,0.515
318,,,0.795,-0.015,0.545,0.533
320,,,0.822,-0.018,0.565,0.551
322,,,0.846,-0.017,0.584,0.571
324,,,0.871,-0.016,0.602,0.589
326,,,0.889,-0.016,0.615,0.604
328,,,0.912,-0.016,0.634,0.619
330,,,0.933,-0.017,0.653,0.637
332,,,0.961,-0.017,0.672,0.656
334,,,0.986,-0.016,0.692,0.675
336,,,1.018,-0.016,0.715,0.699
338,,,1.058,-0.016,0.747,0.729
340,,,1.108,-0.016,0.785,0.768
342,,,1.16,-0.014,0.826,0.802
344,,,1.226,-0.015,0.878,0.851
346,,,1.294,-0.014,0.925,0.899
