Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
278,0.648,0.743,0.63,0.012,0.65,0.549
280,0.585,0.677,0.577,0.009,0.587,0.497
282,0.557,0.637,0.544,0.007,0.553,0.467
284,0.55,0.628,0.536,0.004,0.545,0.46
286,0.56,0.632,0.541,0.003,0.55,0.461
288,0.574,0.646,0.551,0.005,0.56,0.47
290,0.591,0.662,0.564,0.007,0.576,0.479
292,0.602,0.673,0.571,0.01,0.585,0.487
294,0.611,0.682,0.579,0.011,0.593,0.491
296,0.618,0.689,0.582,0.011,0.596,0.493
298,0.624,0.691,0.583,-0.016,0.601,0.497
300,0.634,0.695,0.587,-0.014,0.615,0.501
302,0.65,0.71,0.601,-0.017,0.63,0.515
304,0.658,0.719,0.607,-0.018,0.638,0.519
306,0.665,0.727,0.613,-0.017,0.644,0.525
308,0.673,0.733,0.619,-0.019,0.649,0.53
310,0.683,0.744,0.627,-0.017,0.661,0.537
312,0.695,0.758,0.635,-0.017,0.672,0.548
314,0.713,0.779,0.653,-0.017,0.689,0.56
316,0.735,0.802,0.669,-0.019,0.709,0.577
318,0.761,0.828,0.692,-0.019,0.734,0.598
320,0.789,0.86,0.717,-0.019,0.762,0.623
322,0.819,0.89,0.737,-0.019,0.789,0.643
324,0.846,0.92,0.763,-0.019,0.816,0.665
326,0.865,0.94,0.779,-0.019,0.835,0.679
328,0.889,0.968,0.802,-0.019,0.857,0.699
330,0.911,0.995,0.821,-0.019,0.882,0.718
332,0.937,1.026,0.844,-0.019,0.909,0.74
334,0.968,1.057,0.868,-0.019,0.932,0.761
336,1,1.091,0.894,-0.019,0.965,0.787
338,1.042,1.138,0.93,-0.019,1.007,0.819
340,1.092,1.194,0.975,-0.019,1.056,0.863
342,1.151,1.256,1.024,-0.019,1.112,0.906
344,1.219,1.331,1.083,-0.019,1.18,0.961
346,1.288,1.408,1.142,-0.019,1.243,1.015
348,1.355,1.481,1.205,-0.019,1.313,1.07
350,1.43,1.562,1.266,-0.019,1.381,1.127
352,1.507,1.649,1.335,-0.019,1.461,1.186
354,1.587,1.733,1.403,-0.019,1.534,1.254
356,1.663,1.81,1.472,-0.019,1.615,1.319
358,1.739,1.902,1.538,-0.019,1.686,1.38
360,1.803,1.965,1.601,-0.019,1.75,1.429
362,1.851,2.028,1.639,-0.019,1.801,1.473
364,1.885,2.063,1.659,-0.019,1.822,1.493
366,1.89,2.062,1.678,-0.019,1.847,1.511
368,1.882,2.061,1.676,-0.019,1.84,1.506
370,1.869,2.035,1.658,-0.019,1.825,1.497
372,1.843,2.016,1.644,-0.019,1.807,1.476
374,1.812,1.981,1.614,-0.019,1.768,1.45
376,1.779,1.945,1.579,-0.019,1.715,1.421
378,1.713,1.889,1.53,-0.019,1.685,1.373
380,1.647,1.813,1.476,-0.019,1.626,1.319
382,1.561,1.719,1.389,-0.019,1.533,1.247
384,1.436,1.582,1.287,-0.019,1.417,1.153
386,1.291,1.425,1.162,-0.019,1.28,1.037
388,1.131,1.252,1.02,-0.019,1.121,0.911
390,0.953,1.058,0.864,-0.019,0.949,0.769
392,0.794,0.882,0.73,-0.019,0.797,0.645
394,0.651,0.728,0.602,-0.019,0.655,0.53
396,0.526,0.583,0.49,-0.019,0.528,0.425
398,0.411,0.458,0.391,-0.019,0.415,0.373
400,0.322,0.347,0.305,-0.019,0.322,0.251
402,0.24,0.258,0.234,-0.019,0.241,0.186
404,0.184,0.193,0.182,-0.019,0.181,0.138
406,0.132,0.137,0.138,-0.019,0.129,0.096
408,0.092,0.095,0.102,-0.019,0.089,0.064
410,0.062,0.061,0.075,-0.019,0.058,0.04
412,0.038,0.037,0.055,-0.019,0.035,0.022
414,0.023,0.019,0.041,-0.019,0.02,0.01
416,0.014,0.009,0.031,-0.019,0.009,0.002
418,0.007,0.002,0.026,-0.019,0.002,0.003
420,0.002,-0.003,0.022,-0.019,-0.003,-0.008
422,0,-0.006,0.019,-0.019,-0.006,-0.008
424,-0.002,-0.008,0.017,-0.019,-0.008,-0.009
426,-0.004,-0.01,0.016,-0.019,-0.01,-0.011
428,-0.007,-0.011,0.015,-0.019,-0.01,-0.011
430,-0.008,-0.012,0.013,-0.019,-0.012,-0.012
432,-0.009,-0.013,0.012,-0.019,-0.012,-0.012
434,-0.01,-0.014,0.011,-0.019,-0.014,-0.013
436,-0.011,-0.015,0.01,-0.019,-0.014,-0.013
438,-0.011,-0.015,0.01,-0.019,-0.015,-0.014
440,-0.012,-0.016,0.009,-0.019,-0.015,-0.014
442,-0.012,-0.016,0.008,-0.019,-0.015,-0.014
444,-0.012,-0.016,0.008,-0.019,-0.016,-0.014
446,-0.013,-0.016,0.007,-0.019,-0.016,-0.015
448,-0.013,-0.017,0.006,-0.017,-0.016,-0.015
450,-0.014,-0.017,0.006,-0.017,-0.016,-0.015
452,-0.014,-0.017,0.006,-0.017,-0.016,-0.015
454,-0.013,-0.017,0.005,-0.017,-0.017,-0.015
456,-0.014,-0.017,0.005,-0.017,-0.017,-0.014
458,-0.014,-0.017,0.004,-0.017,-0.017,-0.014
460,-0.015,-0.017,0.004,-0.017,-0.017,-0.015
462,-0.015,-0.017,0.003,-0.017,-0.016,-0.014
464,-0.016,-0.017,0.003,-0.017,-0.017,-0.015
466,-0.017,-0.017,0.002,-0.017,-0.017,-0.014
468,-0.018,-0.018,0.002,-0.017,-0.017,-0.014
470,-0.018,-0.018,0.001,-0.017,-0.017,-0.014
472,-0.019,-0.018,0.001,-0.017,-0.016,-0.015
474,-0.018,-0.018,0.001,-0.017,-0.016,-0.015
476,-0.018,-0.017,0.001,-0.017,-0.017,-0.015
478,-0.018,-0.017,0,-0.017,-0.017,-0.014
480,-0.018,-0.018,0,-0.017,-0.017,-0.014
482,-0.018,-0.018,0,-0.017,-0.017,-0.014
484,-0.018,-0.019,0,-0.017,-0.017,-0.014
486,-0.018,-0.019,0,-0.017,-0.017,-0.014
488,-0.018,-0.02,0,-0.017,-0.017,-0.014
490,-0.018,-0.02,0,-0.017,-0.017,-0.014
492,-0.018,-0.02,0,-0.017,-0.017,-0.014
494,-0.018,-0.02,0,-0.017,-0.017,-0.014
496,-0.018,-0.02,0,-0.017,-0.016,-0.014
498,-0.018,-0.02,0,-0.017,-0.016,-0.014
500,-0.018,-0.02,0,-0.017,-0.016,-0.014
