Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,1.368,1.191,1.206,0.929,1.2,1.194
202,1.29,1.291,1.227,0.965,1.139,1.262
204,1.375,1.406,1.358,1.089,1.33,1.388
206,1.535,1.436,1.481,1.097,1.498,1.516
208,1.585,1.586,1.52,0.891,1.668,1.554
210,1.66,1.739,1.579,0.651,1.544,1.535
212,1.614,1.688,1.586,0.435,1.645,1.56
214,1.61,1.683,1.598,0.34,1.552,1.541
216,1.531,1.612,1.451,0.263,1.568,1.453
218,1.531,1.697,1.464,0.248,1.517,1.394
220,1.42,1.67,1.396,0.239,1.503,1.376
222,1.413,1.779,1.369,0.253,1.512,1.354
224,1.388,1.704,1.35,0.261,1.53,1.363
226,1.367,1.744,1.318,0.272,1.529,1.351
228,1.357,1.741,1.311,0.282,1.524,1.346
230,1.346,1.748,1.301,0.288,1.521,1.343
232,1.313,1.709,1.274,0.287,1.502,1.32
234,1.251,1.631,1.211,0.27,1.434,1.264
236,1.2,1.568,1.159,0.246,1.354,1.2
238,1.198,1.53,1.147,0.224,1.34,1.163
240,1.246,1.543,1.175,0.195,1.357,1.177
242,1.294,1.575,1.212,0.161,1.421,1.184
244,1.364,1.64,1.276,0.134,1.433,1.221
246,1.489,1.725,1.372,0.104,1.522,1.288
248,1.581,1.803,1.457,0.082,1.592,1.339
250,1.646,1.85,1.509,0.07,1.639,1.375
252,1.758,1.933,1.622,0.057,1.758,1.471
254,1.816,2.015,1.675,0.044,1.783,1.502
256,1.75,1.949,1.618,0.04,1.734,1.462
258,1.624,1.783,1.505,0.033,1.603,1.348
260,1.48,1.647,1.373,0.035,1.461,1.22
262,1.386,1.549,1.293,0.033,1.377,1.149
264,1.305,1.46,1.223,0.031,1.3,1.089
266,1.233,1.382,1.154,0.028,1.223,1.029
268,1.174,1.316,1.1,0.023,1.162,0.976
270,1.088,1.195,0.998,0.019,1.081,0.915
272,0.968,1.097,0.918,0.021,0.961,0.808
274,0.859,0.978,0.825,0.018,0.863,0.73
276,0.745,0.84,0.724,0.012,0.745,0.628
