ABS,120hQC,120hQCOA,120hQCCALB,120hOACALB,120hS1,120hS2
2158.128608,-0.004034,-0.019725,-0.022905,-0.021944,-0.024998,-0.021557
2159.992277,-0.000736,-0.016849,-0.021781,-0.019331,-0.021889,-0.019329
2161.855946,0.003839,-0.013835,-0.019052,-0.016363,-0.019319,-0.018519
2163.719615,-0.000694,-0.017996,-0.021161,-0.020103,-0.023388,-0.022015
2165.583283,0.000576,-0.016545,-0.019702,-0.02109,-0.023029,-0.019977
2167.446952,-0.002539,-0.017621,-0.023411,-0.023275,-0.025224,-0.023549
2169.310621,0.000236,-0.014791,-0.01962,-0.019359,-0.020454,-0.019951
2171.17429,-0.001898,-0.018727,-0.021448,-0.021863,-0.02244,-0.020396
2173.037959,-0.007207,-0.022909,-0.027498,-0.024723,-0.027545,-0.024603
2174.901628,-0.00825,-0.024477,-0.030513,-0.027014,-0.030707,-0.027208
2176.765297,-0.007401,-0.025198,-0.029733,-0.028164,-0.0306,-0.028329
2178.628966,-0.007868,-0.025229,-0.029832,-0.02807,-0.031383,-0.031262
2180.492635,-0.007809,-0.024425,-0.03053,-0.029411,-0.030425,-0.032453
2182.356304,-0.011996,-0.028206,-0.032398,-0.032413,-0.031862,-0.034243
2184.219973,-0.011272,-0.029304,-0.031302,-0.030498,-0.032314,-0.032385
2186.083642,-0.010085,-0.028677,-0.032045,-0.029691,-0.033673,-0.030984
2187.94731,-0.007104,-0.027143,-0.031224,-0.027822,-0.03136,-0.028775
2189.810979,-0.009419,-0.02826,-0.031819,-0.030487,-0.031269,-0.030326
2191.674648,-0.006869,-0.024566,-0.027911,-0.027665,-0.028639,-0.027487
2193.538317,-0.007317,-0.026453,-0.029888,-0.029756,-0.031203,-0.030198
2195.401986,-0.005919,-0.024246,-0.028009,-0.027197,-0.029466,-0.027608
2197.265655,-0.006824,-0.022939,-0.02755,-0.025419,-0.02904,-0.026585
2199.129324,-0.004584,-0.020535,-0.026308,-0.024686,-0.02675,-0.02611
2200.992993,-0.001649,-0.01959,-0.024808,-0.023684,-0.023791,-0.02396
2202.856662,0.000647,-0.017971,-0.02298,-0.021245,-0.022243,-0.021843
2204.720331,-0.002108,-0.019917,-0.024199,-0.022548,-0.023897,-0.023516
2206.584,-0.001112,-0.019006,-0.022164,-0.020678,-0.022298,-0.021968
2208.447669,-0.002883,-0.020766,-0.024042,-0.022624,-0.024501,-0.024179
2210.311337,-0.002105,-0.020053,-0.023448,-0.022845,-0.024863,-0.024157
2212.175006,-0.00189,-0.020489,-0.023669,-0.023664,-0.024758,-0.023237
2214.038675,-0.002113,-0.021045,-0.025712,-0.025117,-0.025771,-0.023691
2215.902344,-0.003591,-0.02302,-0.028202,-0.026925,-0.028082,-0.026852
2217.766013,-0.005985,-0.025985,-0.030127,-0.028215,-0.030256,-0.030293
2219.629682,-0.008695,-0.02836,-0.032459,-0.030406,-0.032236,-0.032305
2221.493351,-0.009132,-0.027988,-0.032185,-0.031465,-0.032802,-0.03116
2223.35702,-0.009085,-0.027756,-0.0317,-0.031935,-0.032223,-0.030198
2225.220689,-0.00766,-0.026747,-0.031278,-0.032148,-0.030904,-0.030462
2227.084358,-0.008545,-0.026706,-0.031154,-0.031838,-0.031731,-0.031301
2228.948027,-0.007138,-0.025745,-0.030136,-0.029923,-0.029851,-0.029796
2230.811696,-0.005439,-0.025293,-0.029294,-0.028372,-0.027608,-0.028622
2232.675364,-0.003894,-0.023943,-0.02769,-0.026206,-0.02711,-0.027439
2234.539033,-0.007297,-0.026761,-0.030475,-0.029025,-0.030641,-0.029765
2236.402702,-0.005442,-0.025348,-0.02957,-0.028388,-0.029309,-0.028414
2238.266371,-0.003927,-0.023711,-0.028559,-0.027662,-0.028216,-0.027889
2240.13004,-0.00297,-0.022331,-0.026431,-0.025972,-0.026596,-0.026651
2241.993709,-0.004845,-0.024569,-0.028794,-0.027724,-0.028437,-0.028312
2243.857378,-0.004279,-0.024794,-0.029374,-0.029548,-0.028201,-0.028765
2245.721047,-0.004597,-0.024385,-0.028325,-0.029582,-0.027887,-0.028356
2247.584716,-0.003115,-0.02152,-0.025431,-0.026012,-0.026318,-0.025617
2249.448385,-0.002411,-0.02086,-0.024906,-0.024741,-0.025424,-0.025065
2251.312054,-0.001298,-0.021392,-0.025566,-0.023947,-0.02536,-0.024619
2253.175723,-0.00368,-0.023281,-0.028356,-0.025973,-0.028234,-0.026573
2255.039392,-0.003549,-0.022128,-0.027553,-0.026135,-0.027758,-0.026719
2256.90306,-0.003128,-0.021691,-0.027208,-0.026326,-0.026731,-0.026755
2258.766729,-0.003704,-0.023167,-0.028659,-0.027434,-0.027688,-0.02766
2260.630398,-0.005045,-0.025222,-0.030116,-0.028858,-0.029423,-0.028804
2262.494067,-0.004697,-0.024419,-0.029046,-0.02867,-0.029255,-0.028152
2264.357736,-0.003697,-0.023558,-0.028255,-0.027938,-0.028584,-0.027795
2266.221405,-0.0046,-0.024794,-0.029226,-0.028817,-0.029505,-0.028973
2268.085074,-0.007089,-0.02765,-0.03112,-0.030602,-0.03181,-0.031651
2269.948743,-0.007521,-0.028326,-0.031666,-0.030222,-0.031998,-0.032162
2271.812412,-0.007657,-0.027414,-0.031421,-0.030198,-0.031489,-0.031562
2273.676081,-0.00653,-0.025417,-0.030473,-0.029333,-0.030435,-0.030237
2275.53975,-0.006136,-0.025634,-0.031068,-0.029397,-0.030996,-0.030502
2277.403419,-0.005856,-0.026201,-0.030744,-0.029795,-0.030676,-0.029818
2279.267087,-0.005849,-0.026267,-0.030735,-0.030382,-0.030502,-0.029389
2281.130756,-0.004558,-0.024835,-0.029411,-0.029454,-0.029482,-0.028856
2282.994425,-0.004341,-0.02502,-0.029412,-0.029176,-0.029011,-0.029436
2284.858094,-0.003286,-0.024013,-0.028933,-0.028124,-0.028147,-0.028343
2286.721763,-0.003421,-0.024296,-0.029178,-0.02789,-0.028129,-0.027942
2288.585432,-0.003258,-0.024434,-0.028762,-0.027433,-0.027513,-0.02719
2290.449101,-0.002992,-0.024097,-0.028044,-0.027096,-0.027081,-0.026829
2292.31277,-0.001498,-0.022432,-0.026513,-0.025724,-0.026114,-0.025853
2294.176439,-0.001414,-0.021935,-0.025943,-0.025628,-0.025897,-0.025322
2296.040108,-0.000222,-0.020572,-0.024499,-0.024082,-0.024114,-0.023295
2297.903777,0.000414,-0.020275,-0.024032,-0.022906,-0.023119,-0.022388
2299.767446,0.000878,-0.01987,-0.02373,-0.022222,-0.022108,-0.021743
2301.631114,0.000599,-0.019937,-0.023364,-0.021996,-0.022023,-0.021396
2303.494783,0.001818,-0.018838,-0.021974,-0.02085,-0.020955,-0.020393
2305.358452,0.003167,-0.017503,-0.020599,-0.019717,-0.019519,-0.019157
2307.222121,0.004264,-0.01646,-0.019334,-0.018113,-0.018048,-0.017754
2309.08579,0.005936,-0.014951,-0.017236,-0.015811,-0.015913,-0.015248
2310.949459,0.007528,-0.013475,-0.015012,-0.013189,-0.013866,-0.012873
2312.813128,0.007546,-0.013539,-0.014578,-0.012485,-0.013227,-0.012136
2314.676797,0.007415,-0.013288,-0.014399,-0.012708,-0.012801,-0.011877
2316.540466,0.008481,-0.011906,-0.013155,-0.011355,-0.0114,-0.010748
2318.404135,0.010733,-0.009963,-0.011235,-0.008702,-0.00891,-0.008236
2320.267804,0.011115,-0.009554,-0.010316,-0.008135,-0.007837,-0.007202
2322.131473,0.011455,-0.008733,-0.009445,-0.007614,-0.007099,-0.006359
2323.995142,0.010881,-0.009156,-0.009277,-0.007496,-0.007059,-0.006105
2325.85881,0.012233,-0.008414,-0.00834,-0.00673,-0.006269,-0.005493
2327.722479,0.013393,-0.007482,-0.006894,-0.004697,-0.00473,-0.003724
2329.586148,0.014751,-0.005696,-0.005314,-0.002783,-0.003161,-0.002
2331.449817,0.012552,-0.007659,-0.007747,-0.005152,-0.004893,-0.004423
2333.313486,0.011105,-0.009117,-0.008766,-0.006569,-0.005697,-0.005382
2335.177155,0.011607,-0.008671,-0.008773,-0.007065,-0.00651,-0.005506
2337.040824,0.011794,-0.008432,-0.009504,-0.007286,-0.007296,-0.005875
2338.904493,0.009651,-0.010839,-0.011128,-0.008591,-0.008576,-0.007103
2340.768162,0.01016,-0.010662,-0.009657,-0.007173,-0.00712,-0.005648
2342.631831,0.010918,-0.009648,-0.008541,-0.006107,-0.005812,-0.004477
2344.4955,0.011984,-0.00856,-0.00773,-0.005306,-0.004786,-0.003647
2346.359169,0.009583,-0.011079,-0.010625,-0.008253,-0.008069,-0.007035
2348.222837,0.00649,-0.014364,-0.014603,-0.01236,-0.012133,-0.011235
2350.086506,0.007979,-0.013021,-0.013065,-0.011352,-0.010678,-0.009841
2351.950175,0.01309,-0.008009,-0.006793,-0.00471,-0.004291,-0.003274
2353.813844,0.015767,-0.005234,-0.003543,-0.00066,-0.001113,0.000373
2355.677513,0.015973,-0.004362,-0.002242,0.000425,0.000539,0.002046
2357.541182,0.015388,-0.004637,-0.002712,0.000281,0.001214,0.002123
2359.404851,0.016729,-0.003846,-0.002103,0.001492,0.002099,0.002811
2361.26852,0.01701,-0.003934,-0.001771,0.001693,0.002278,0.003074
2363.132189,0.017392,-0.003495,-0.002184,0.001212,0.001935,0.003355
2364.995858,0.017234,-0.003887,-0.002297,0.000951,0.001591,0.0035
2366.859527,0.01881,-0.002276,-0.001462,0.001715,0.001965,0.003248
2368.723196,0.016449,-0.004199,-0.004136,-0.001326,-0.001108,-0.0003
2370.586864,0.017246,-0.003453,-0.003411,-0.001192,-0.001074,-0.000203
2372.450533,0.017526,-0.003167,-0.003888,-0.001975,-0.001877,-0.00135
2374.314202,0.015634,-0.005049,-0.006962,-0.004781,-0.004583,-0.00445
2376.177871,0.012783,-0.008206,-0.010869,-0.008725,-0.008542,-0.00833
2378.04154,0.009667,-0.011695,-0.014957,-0.01291,-0.012822,-0.012606
2379.905209,0.005815,-0.015876,-0.019737,-0.017965,-0.017913,-0.017642
2381.768878,0.003213,-0.018374,-0.023043,-0.02148,-0.021694,-0.021133
2383.632547,-0.000107,-0.021389,-0.026811,-0.02517,-0.025223,-0.024982
