Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,1.226,1.134,1.3,0.96,1.172,1.13
202,1.339,1.324,1.29,0.974,1.307,1.367
204,1.311,1.388,1.473,1.068,1.402,1.391
206,1.454,1.451,1.49,1.102,1.567,1.553
208,1.476,1.444,1.521,0.9,1.648,1.457
210,1.568,1.473,1.419,0.681,1.589,1.508
212,1.69,1.447,1.502,0.479,1.781,1.548
214,1.618,1.344,1.382,0.356,1.686,1.501
216,1.588,1.285,1.317,0.285,1.777,1.37
218,1.531,1.174,1.243,0.25,1.647,1.298
220,1.497,1.136,1.213,0.237,1.696,1.26
222,1.488,1.098,1.156,0.254,1.743,1.229
224,1.465,1.077,1.13,0.252,1.72,1.219
226,1.432,1.055,1.105,0.263,1.725,1.19
228,1.429,1.057,1.098,0.275,1.735,1.204
230,1.419,1.023,1.063,0.26,1.7,1.196
232,1.356,1,1.034,0.259,1.68,1.141
234,1.326,0.989,1.014,0.271,1.633,1.124
236,1.276,0.935,0.964,0.249,1.557,1.063
238,1.255,0.918,0.949,0.218,1.522,1.031
240,1.3,0.929,0.969,0.19,1.553,1.04
242,1.345,0.932,0.986,0.151,1.581,1.041
244,1.425,0.964,1.034,0.134,1.642,1.071
246,1.543,1.02,1.109,0.104,1.739,1.124
248,1.64,1.067,1.172,0.082,1.827,1.168
250,1.702,1.103,1.214,0.07,1.884,1.2
252,1.783,1.213,1.28,0.058,1.957,1.253
254,1.843,1.184,1.352,0.048,2.019,1.314
256,1.705,1.101,1.321,0.039,1.969,1.281
258,1.555,0.984,1.23,0.034,1.851,1.183
260,1.468,0.924,1.112,0.032,1.688,1.072
262,1.389,0.886,1.052,0.03,1.598,1.011
264,1.307,0.839,1.005,0.03,1.505,0.965
266,1.245,0.799,0.951,0.023,1.413,0.904
268,1.13,0.71,0.906,0.023,1.346,0.868
270,1.035,0.652,0.815,0.021,1.227,0.773
272,0.932,0.589,0.755,0.02,1.125,0.716
274,0.804,0.51,0.684,0.015,1.011,0.646
276,0.7,0.444,0.597,0.013,0.874,0.561
278,0.637,0.401,0.527,0.01,0.764,0.49
280,0.6,0.375,0.483,0.008,0.688,0.444
282,0.592,0.37,0.456,0.004,0.646,0.415
284,0.598,0.374,0.445,0.004,0.637,0.41
286,0.614,0.379,0.448,0.001,0.639,0.413
288,0.628,0.388,0.454,0.001,0.654,0.418
290,0.641,0.396,0.464,0.005,0.668,0.428
292,0.652,0.398,0.468,0.006,0.684,0.434
294,0.652,0.399,0.471,0.009,0.692,0.437
296,0.659,0.402,0.471,0.009,0.694,0.437
298,0.666,0.404,0.475,0.01,0.701,0.439
300,0.683,0.41,0.487,-0.012,0.707,0.444
302,0.691,0.421,0.49,-0.014,0.722,0.448
304,0.698,0.427,0.501,-0.014,0.731,0.459
306,0.705,0.43,0.507,-0.015,0.738,0.466
308,0.715,0.437,0.51,-0.013,0.747,0.465
310,0.721,0.444,0.512,-0.015,0.757,0.467
312,0.747,0.455,0.515,-0.016,0.77,0.475
314,0.767,0.468,0.534,-0.015,0.789,0.493
316,0.793,0.483,0.545,-0.016,0.813,0.508
318,0.822,0.501,0.562,-0.016,0.84,0.524
320,0.852,0.52,0.58,-0.015,0.871,0.544
322,0.88,0.537,0.597,-0.014,0.904,0.56
324,0.9,0.549,0.615,-0.015,0.933,0.577
326,0.926,0.562,0.625,-0.018,0.955,0.59
328,0.952,0.58,0.642,-0.015,0.981,0.608
330,0.979,0.599,0.658,-0.013,1.008,0.624
332,1.007,0.616,0.674,-0.015,1.042,0.643
334,1.042,0.637,0.692,-0.014,1.069,0.661
336,1.085,0.665,0.715,-0.014,1.108,0.684
338,1.138,0.7,0.739,-0.013,1.155,0.71
340,1.197,0.735,0.776,-0.013,1.213,0.745
342,1.268,0.779,0.816,-0.015,1.274,0.786
344,1.336,0.823,0.859,-0.015,1.348,0.83
346,1.408,0.868,0.905,-0.012,1.428,0.877
348,1.483,0.913,0.951,-0.014,1.501,0.924
350,1.565,0.967,0.998,-0.014,1.58,0.971
352,1.644,1.019,1.053,-0.011,1.67,1.027
354,1.727,1.071,1.103,-0.012,1.751,1.075
356,1.803,1.115,1.16,-0.011,1.844,1.133
358,1.871,1.161,1.21,-0.01,1.931,1.187
360,1.924,1.196,1.25,-0.01,1.995,1.226
362,1.95,1.214,1.286,-0.012,2.052,1.262
364,1.965,1.23,1.304,-0.011,2.078,1.282
366,1.962,1.229,1.32,-0.01,2.094,1.299
368,1.947,1.219,1.318,-0.011,2.089,1.297
370,1.921,1.205,1.309,-0.009,2.073,1.288
372,1.895,1.185,1.29,-0.012,2.059,1.273
374,1.85,1.162,1.27,-0.012,2.019,1.251
376,1.802,1.123,1.238,-0.011,1.977,1.226
378,1.733,1.077,1.204,-0.011,1.924,1.185
380,1.637,1.019,1.158,-0.011,1.855,1.14
382,1.514,0.945,1.094,-0.011,1.756,1.077
384,1.364,0.85,1.016,-0.013,1.632,0.999
386,1.196,0.751,0.919,-0.012,1.474,0.9
388,1.022,0.639,0.813,-0.019,1.301,0.795
390,0.855,0.538,0.696,-0.015,1.105,0.678
392,0.712,0.442,0.591,-0.013,0.929,0.571
394,0.575,0.359,0.493,-0.015,0.77,0.473
396,0.451,0.282,0.407,-0.013,0.625,0.386
398,0.358,0.217,0.329,-0.017,0.495,0.306
400,0.271,0.163,0.267,-0.017,0.396,0.247
402,0.205,0.12,0.21,-0.017,0.309,0.188
404,0.147,0.086,0.165,-0.017,0.248,0.144
406,0.107,0.06,0.127,-0.018,0.192,0.107
408,0.069,0.037,0.1,-0.018,0.15,0.079
410,0.045,0.021,0.076,-0.018,0.114,0.055
412,0.028,0.01,0.06,-0.017,0.089,0.038
414,0.016,0.002,0.048,-0.017,0.07,0.026
416,0.009,0.003,0.039,-0.017,0.058,0.018
418,0.004,0.004,0.034,-0.018,0.049,0.012
420,0.001,0.004,0.031,-0.017,0.044,0.009
422,0.002,0.006,0.028,-0.017,0.041,0.007
424,0.004,0.007,0.026,-0.017,0.038,0.005
426,0.004,0.008,0.025,-0.017,0.036,0.004
428,0.006,0.008,0.024,-0.018,0.035,0.003
430,0.007,0.009,0.023,-0.017,0.033,0.002
432,0.007,0.01,0.022,-0.018,0.031,0.002
434,0.008,0.011,0.022,-0.017,0.03,0.002
436,0.008,0.01,0.02,-0.017,0.029,0.002
438,0.009,0.012,0.02,-0.018,0.028,0.001
440,0.01,0.013,0.02,-0.018,0.027,0
442,0.01,0.013,0.018,-0.017,0.027,0
444,0.011,0.014,0.019,-0.018,0.026,0.001
446,0.011,0.014,0.018,-0.017,0.025,0.001
448,0.011,0.014,0.017,-0.018,0.024,0.001
450,0.011,0.015,0.017,-0.017,0.024,0.001
452,0.011,0.015,0.016,-0.018,0.023,0.001
454,0.012,0.016,0.015,-0.017,0.023,0.002
456,0.012,0.015,0.015,-0.018,0.023,0.002
458,0.012,0.016,0.016,-0.018,0.022,0.002
460,0.013,0.017,0.015,-0.018,0.022,0.002
462,0.013,0.016,0.014,-0.018,0.022,0.002
464,0.013,0.017,0.012,-0.017,0.021,0.002
466,0.013,0.017,0.013,-0.018,0.02,0.003
468,0.013,0.016,0.013,-0.018,0.019,0.003
