Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
470,0.013,0.017,0.011,-0.017,0.019,0.003
472,0.014,0.017,0.011,-0.017,0.018,0.003
474,0.013,0.017,0.011,-0.017,0.018,0.003
476,0.013,0.017,0.01,-0.016,0.017,0.003
478,0.012,0.017,0.01,-0.016,0.017,0.002
480,0.013,0.017,0.01,-0.017,0.017,0.001
482,0.012,0.017,0.01,-0.017,0.016,0.001
484,0.013,0.017,0.009,-0.017,0.016,0.001
486,0.013,0.017,0.009,-0.017,0.015,0.001
488,0.013,0.017,0.009,-0.016,0.015,0.001
490,0.013,0.017,0.009,-0.017,0.015,0.002
492,0.013,0.017,0.008,-0.017,0.014,0.002
494,0.015,0.017,0.008,-0.017,0.014,0.002
496,0.015,0.017,0.008,-0.017,0.014,0.002
498,0.015,0.017,0.008,-0.017,0.013,0.002
500,0.015,0.017,0.008,-0.017,0.013,0.002
