ABS,48hQC,48hQCOA,48hQCCALB,48hOACALB,48hS1,48hS2
650.420453,-0.040645,-0.013286,0.001702,-0.020726,-0.014292,-0.014024
652.284122,-0.025036,-0.002017,0.00476,-0.012911,-0.006505,-0.015117
654.14779,-0.0251,-0.005817,0.008271,-0.008673,-0.00125,-0.013339
656.011459,-0.011905,0.004826,0.024897,0.006506,0.009541,0.008417
657.875128,-0.012253,0.00712,0.017443,-0.000561,0.006401,0.005489
659.738797,0.004665,0.03283,0.033021,0.020299,0.028219,0.024293
661.602466,0.003634,0.034251,0.033668,0.024796,0.026799,0.023774
663.466135,0.02216,0.049619,0.053532,0.043416,0.042507,0.037728
665.329804,0.042869,0.073616,0.07873,0.064627,0.068354,0.06048
667.193473,0.043976,0.074226,0.07843,0.061664,0.074633,0.065968
669.057142,0.040069,0.071213,0.076614,0.063709,0.080488,0.070279
670.920811,0.025833,0.065868,0.066703,0.060774,0.068902,0.055992
672.78448,0.019232,0.061316,0.057776,0.05461,0.057975,0.046948
674.648149,0.020823,0.063228,0.055662,0.053582,0.058132,0.048524
676.511817,0.017547,0.061285,0.050542,0.05239,0.056913,0.048068
678.375486,0.015941,0.058036,0.050268,0.051927,0.055696,0.047167
680.239155,0.015855,0.056037,0.050553,0.051581,0.05601,0.046745
682.102824,0.013436,0.056508,0.050164,0.052616,0.058802,0.047423
683.966493,0.006239,0.053594,0.041758,0.04683,0.055601,0.042172
685.830162,0.000533,0.049241,0.037042,0.042875,0.051325,0.039561
687.693831,0.001756,0.049071,0.039089,0.0457,0.052243,0.04191
689.5575,-0.00037,0.048348,0.035802,0.044372,0.050012,0.040255
691.421169,0.00729,0.056396,0.041146,0.050622,0.054524,0.045054
693.284838,-0.000946,0.047108,0.031314,0.043028,0.047059,0.03688
695.148507,-0.006418,0.042853,0.026086,0.040457,0.044422,0.034499
697.012176,-0.001297,0.049694,0.033288,0.046267,0.050277,0.039344
698.875844,-0.000576,0.050139,0.031424,0.045827,0.050496,0.038011
700.739513,0.009691,0.061456,0.035645,0.053723,0.056862,0.046673
702.603182,0.014185,0.064274,0.034421,0.053226,0.056226,0.047302
704.466851,0.017103,0.064553,0.03648,0.056493,0.061367,0.049714
706.33052,0.016989,0.068599,0.042866,0.064437,0.070166,0.055659
708.194189,0.01208,0.068205,0.046223,0.067083,0.072926,0.058231
710.057858,0.009203,0.065034,0.046384,0.066675,0.072381,0.058751
711.921527,0.013863,0.072484,0.052762,0.073909,0.080383,0.066028
713.785196,0.010699,0.075454,0.04872,0.075657,0.083309,0.068442
715.648865,0.009267,0.077576,0.044289,0.080161,0.086988,0.070298
717.512534,0.00998,0.08471,0.044329,0.086212,0.091869,0.075678
719.376203,0.011364,0.093274,0.045123,0.094274,0.098341,0.084166
721.239872,0.008022,0.095833,0.042574,0.098786,0.103122,0.085557
723.10354,0.006288,0.095958,0.041139,0.09891,0.103564,0.083577
724.967209,0.002598,0.087258,0.03583,0.088283,0.092895,0.075064
726.830878,0.004752,0.081163,0.037496,0.082647,0.087355,0.072477
728.694547,0.005828,0.076445,0.038809,0.076722,0.082982,0.069785
730.558216,0.000398,0.066013,0.033968,0.064888,0.071056,0.058822
732.421885,0.001259,0.059493,0.033409,0.059754,0.063694,0.053225
734.285554,-0.002233,0.049095,0.028445,0.050457,0.054431,0.044787
736.149223,-0.000811,0.046199,0.029032,0.047166,0.05091,0.04166
