ABS,72hQC,72hQCOA,72hQCCALB,72hOACALB,72hS1,72hS2
650.420453,-0.034367,-0.016282,-0.00748,-0.015504,0.009632,-0.011177
652.284122,-0.032767,-0.007218,-0.001292,0.001494,0.015526,0.002161
654.14779,-0.035527,-0.008377,0.000896,0.003292,0.014067,0.012073
656.011459,-0.016585,0.004266,0.012222,0.013958,0.029933,0.024754
657.875128,-0.014281,0.000581,0.007682,0.005561,0.031557,0.013583
659.738797,0.005364,0.023909,0.030882,0.021485,0.049833,0.035183
661.602466,0.00225,0.030595,0.032494,0.022908,0.044725,0.039828
663.466135,0.018482,0.049225,0.045211,0.043051,0.05803,0.052673
665.329804,0.044062,0.073814,0.067426,0.073186,0.083522,0.079507
667.193473,0.044362,0.074102,0.066519,0.081202,0.093226,0.08762
669.057142,0.040193,0.07001,0.064092,0.079359,0.093778,0.087097
670.920811,0.031567,0.062746,0.053744,0.06402,0.077027,0.073078
672.78448,0.021795,0.056222,0.046793,0.056812,0.068425,0.061853
674.648149,0.019503,0.054771,0.048006,0.059783,0.069847,0.059599
676.511817,0.016971,0.052609,0.042312,0.057787,0.066432,0.058571
678.375486,0.01726,0.051091,0.037598,0.055222,0.063922,0.060278
680.239155,0.016996,0.049804,0.039174,0.053475,0.062875,0.061158
682.102824,0.015328,0.051101,0.041418,0.053725,0.063295,0.062472
683.966493,0.009122,0.047315,0.035619,0.049333,0.056733,0.057367
685.830162,0.005069,0.044637,0.03136,0.047521,0.054587,0.05424
687.693831,0.005378,0.046228,0.031315,0.049615,0.058896,0.056529
689.5575,0.004607,0.044799,0.02941,0.046875,0.058757,0.054704
691.421169,0.012466,0.050989,0.034389,0.053645,0.064671,0.060713
693.284838,0.001732,0.042206,0.024173,0.04931,0.055284,0.053065
695.148507,-0.002045,0.03762,0.018593,0.046271,0.050977,0.049951
697.012176,0.006818,0.043034,0.023192,0.050254,0.056675,0.055264
698.875844,0.006024,0.041767,0.021693,0.048365,0.056167,0.053962
700.739513,0.013129,0.051111,0.027213,0.054535,0.062297,0.06195
702.603182,0.016646,0.055065,0.026807,0.0557,0.061488,0.062374
704.466851,0.023031,0.060211,0.030874,0.061197,0.066629,0.065458
706.33052,0.025405,0.064579,0.038163,0.066805,0.074255,0.072672
708.194189,0.017978,0.061166,0.039638,0.067752,0.077226,0.07531
710.057858,0.010704,0.058093,0.038196,0.068692,0.078322,0.076343
711.921527,0.013904,0.065561,0.044399,0.078664,0.086957,0.085803
713.785196,0.013018,0.067221,0.041291,0.080237,0.086387,0.087428
715.648865,0.01268,0.069379,0.037312,0.082461,0.086683,0.08912
717.512534,0.014069,0.073897,0.036783,0.089688,0.092779,0.094581
719.376203,0.014966,0.081667,0.038309,0.098668,0.101698,0.103648
721.239872,0.011838,0.086036,0.036123,0.101557,0.10437,0.106799
723.10354,0.011418,0.086341,0.034514,0.101523,0.10343,0.105634
724.967209,0.006311,0.07758,0.029621,0.091706,0.093282,0.095147
726.830878,0.008178,0.07335,0.031256,0.085192,0.087389,0.08902
728.694547,0.01006,0.069366,0.032105,0.07796,0.081693,0.083764
730.558216,0.005055,0.058951,0.026203,0.065643,0.07033,0.072714
732.421885,0.005096,0.052824,0.025925,0.060439,0.064802,0.066364
734.285554,0.000693,0.044053,0.021878,0.051607,0.055459,0.05685
736.149223,0.001915,0.041957,0.022466,0.048129,0.051792,0.053616
738.012892,0.004239,0.040495,0.023068,0.045665,0.049443,0.051631
739.876561,0.00249,0.035637,0.020072,0.039209,0.043013,0.044625
741.74023,0.003616,0.034982,0.021402,0.036982,0.041035,0.042496
743.603899,0.004319,0.033559,0.022014,0.035622,0.039234,0.041331
745.467567,0.008314,0.033958,0.024009,0.035302,0.038514,0.041211
747.331236,0.011541,0.034513,0.026264,0.035,0.038185,0.040257
749.194905,0.013317,0.034892,0.02815,0.035287,0.038583,0.039535
751.058574,0.011212,0.031303,0.02552,0.032518,0.035282,0.036315
752.922243,0.0143,0.032911,0.028893,0.033848,0.036939,0.039365
754.785912,0.013747,0.032007,0.028987,0.030913,0.03575,0.037553
756.649581,0.01225,0.029022,0.026153,0.027093,0.033505,0.033021
758.51325,0.013806,0.029973,0.02753,0.028577,0.034339,0.033767
760.376919,0.012996,0.029962,0.027963,0.029674,0.033637,0.034163
762.240588,0.011732,0.02836,0.02687,0.028169,0.032546,0.033175
764.104257,0.012078,0.028573,0.027609,0.027957,0.032704,0.032993
765.967926,0.007929,0.025476,0.024235,0.024075,0.028116,0.028627
767.831594,0.008242,0.02585,0.02606,0.024778,0.02894,0.029331
769.695263,0.008268,0.025227,0.027235,0.025384,0.029858,0.029595
771.558932,0.004051,0.020598,0.023329,0.021316,0.02539,0.025457
773.422601,0.003011,0.018999,0.022632,0.019982,0.023873,0.024349
775.28627,0.001543,0.017901,0.0225,0.019143,0.023125,0.023188
777.149939,0.001079,0.018246,0.023877,0.019791,0.023919,0.023807
779.013608,0.000817,0.017792,0.02459,0.019161,0.023574,0.023773
780.877277,0.001248,0.01803,0.026488,0.018994,0.023752,0.024359
782.740946,0.001448,0.018466,0.028961,0.019053,0.024702,0.025138
784.604615,0.005327,0.021422,0.032382,0.020728,0.027499,0.027006
786.468284,0.013742,0.027509,0.035747,0.022338,0.029419,0.028986
788.331953,0.019673,0.030696,0.034563,0.021131,0.027606,0.028089
790.195621,0.021906,0.032252,0.033651,0.023004,0.028853,0.029208
792.05929,0.017756,0.029546,0.031493,0.023444,0.029072,0.029128
793.922959,0.015956,0.029081,0.033487,0.02541,0.031522,0.031493
795.786628,0.015223,0.028993,0.036232,0.026364,0.033076,0.032591
797.650297,0.013805,0.027834,0.03632,0.024533,0.031853,0.030829
799.513966,0.015026,0.028483,0.038816,0.024438,0.032104,0.031075
801.377635,0.016618,0.029688,0.043706,0.026288,0.033786,0.032964
803.241304,0.014736,0.028148,0.044877,0.025214,0.032823,0.031816
805.104973,0.012997,0.027646,0.045778,0.024451,0.032986,0.031334
806.968642,0.010036,0.026145,0.047009,0.024127,0.03252,0.031173
808.832311,0.008189,0.025059,0.04944,0.024486,0.032652,0.032038
810.69598,0.006697,0.023796,0.052074,0.024119,0.032693,0.03207
812.559649,0.005345,0.022367,0.054612,0.023412,0.03271,0.031888
